Xcor[1], Ycor[1], Xcor[4], Ycor[4], Xcor[3], Ycor[3], Xcor[8], Ycor[8], Xcor[6], Ycor[6], Xcor[10], Ycor[10], cnetroids
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(408, 331), (408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(409, 332), (408, 331), (408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(426, 315), (409, 332), (408, 331), (408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(426, 316), (426, 315), (409, 332), (408, 331), (408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(424, 316), (426, 316), (426, 315), (409, 332), (408, 331), (408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(425, 318), (424, 316), (426, 316), (426, 315), (409, 332), (408, 331), (408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(425, 318), (425, 318), (424, 316), (426, 316), (426, 315), (409, 332), (408, 331), (408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(425, 317), (425, 318), (425, 318), (424, 316), (426, 316), (426, 315), (409, 332), (408, 331), (408, 332), (408, 332), (408, 331), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(424, 317), (425, 317), (425, 318), (425, 318), (424, 316), (426, 316), (426, 315), (409, 332), (408, 331), (408, 332), (408, 332), (408, 331)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(424, 317), (424, 317), (425, 317), (425, 318), (425, 318), (424, 316), (426, 316), (426, 315), (409, 332), (408, 331), (408, 332), (408, 332)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(424, 317), (424, 317), (424, 317), (425, 317), (425, 318), (425, 318), (424, 316), (426, 316), (426, 315), (409, 332), (408, 331), (408, 332)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(425, 317), (424, 317), (424, 317), (424, 317), (425, 317), (425, 318), (425, 318), (424, 316), (426, 316), (426, 315), (409, 332), (408, 331)], maxlen=12)"
